id,attr_type_name,attr_type_desc
1,Historic Places,"An official location where pieces of political, military, cultural, or social history have been preserved due to their cultural heritage value."
2,Island,"An isolated piece of habitat that is surrounded by a dramatically different habitat, such as water."
3,Museums,"Building or institution that cares for and displays a collection of artifacts and other objects of artistic, cultural, historical, or scientific importance."
4,Natural Landscape,The original landscape that exists before it is acted upon by human culture.
